pair	exposure	outcome	status	n_ivs	beta	se	p	q_p	egger_p	presso_p	q_BH
Chong_2022__Height	Chong_2022	Height	OK	24	0.0286447519050889	0.0482915244589081	0.553071983327614	2.31164126955684e-33	0.238582253534543		0.9524933476636
Gupta_2023_adj__SCZ	Gupta_2023_adj	SCZ	OK	41	-0.0736780699107601	0.0612426890624009	0.228956638572326	1.2083696381256e-05	0.0294598443103946		0.9524933476636
Gupta_2023_adj__BD	Gupta_2023_adj	BD	OK	41	-0.0318948616395762	0.0514634248518841	0.535417221420488	0.00145083862092369	0.995776779914926	0.00341463414634146	0.9524933476636
Gupta_2023_adj__MDD	Gupta_2023_adj	MDD	OK	40	0.0155732606468807	0.0196953192638627	0.429113987504661	0.000655744082918994	0.234998021661058	0.00225	0.9524933476636
Gupta_2023_adj__ADHD	Gupta_2023_adj	ADHD	OK	36	-0.106373901814721	0.0647912783002528	0.100632799404468	0.00599110963968347	0.175960360927015	0.00388888888888889	0.670885329363122
Gupta_2023_adj__ASD	Gupta_2023_adj	ASD	OK	42	-0.130383796976346	0.0762683831837492	0.0873511019109776	0.17258002112681	0.650365954128853	0.190952380952381	0.623936442221269
Gupta_2023_adj__ANX	Gupta_2023_adj	ANX	OK	40	0.00503946763304863	0.0334645172403028	0.880298066302852	0.000162457024067886	0.862778261052331	5e-04	0.95684572424223
Gupta_2023_adj__OCD	Gupta_2023_adj	OCD	OK	35	0.0209826173932234	0.0552049410840995	0.703881683193266	0.493374878970815	0.135506851354703	0.501714285714286	0.9524933476636
Gupta_2023_adj__PTSD	Gupta_2023_adj	PTSD	OK	40	0.000985653507912775	0.00931304906772984	0.915712673797525	0.183092829265787	0.594984422866575	0.1895	0.965413947590472
Gupta_2023_adj__AN	Gupta_2023_adj	AN	OK	38	-0.0173130959191123	0.0729268069109949	0.812343596940045	0.553984965109158	0.314836254474284	0.502894736842105	0.9524933476636
Gupta_2023_adj__BPD	Gupta_2023_adj	BPD	OK	33	-0.0541005652822212	0.0981071432428568	0.581329556339667	0.00641357602242943	0.397699850447435	0.00454545454545455	0.9524933476636
Gupta_2023_adj__TS	Gupta_2023_adj	TS	OK	40	0.0345638740445823	0.133309587217647	0.795422888785193	0.716163581755496	0.705876483295367	0.688	0.9524933476636
Gupta_2023_adj__PPD	Gupta_2023_adj	PPD	OK	42	0.021280874099376	0.0664668573916363	0.748837406674956	0.898419441367863	0.966960773858281	0.895952380952381	0.9524933476636
Gupta_2023_adj__ADR_PercImp	Gupta_2023_adj	ADR_PercImp	OK	34	-0.0785981856622731	0.104679082736108	0.45274353006959	0.991472555637378	0.445314267628313	0.991764705882353	0.9524933476636
Gupta_2023_adj__ADR_NonRem	Gupta_2023_adj	ADR_NonRem	OK	29	-0.00652205761044608	0.247636858358394	0.978988396302706	0.999752156096062	0.852815690108649	0.999310344827586	0.991551472186035
Gupta_2023_adj__BD_noUKBB	Gupta_2023_adj	BD_noUKBB	OK	41	-0.0193450772977347	0.0544712182667547	0.722482389535161	0.0350985831889827	0.953275386622715	0.0309756097560976	0.9524933476636
Gupta_2023_adj__MDD_noUKBB	Gupta_2023_adj	MDD_noUKBB	OK	43	-0.00981131140746209	0.0513938926906925	0.84860062763954	0.0478889313686782	0.873812854004758	0.0488372093023256	0.9524933476636
Gupta_2023_adj__BPD_noUKBB	Gupta_2023_adj	BPD_noUKBB	OK	33	-0.0595538719781569	0.0967866101181998	0.538349312747013	0.0110532159135694	0.411582858897182	0.00787878787878788	0.9524933476636
Gupta_2023_adj__PFactor	Gupta_2023_adj	PFactor	OK	21	0.0073060089080997	0.0134790765387822	0.587800647601959	3.05443199278868e-07	0.195766009984669	0.000476190476190476	0.9524933476636
Gupta_2023_adj__F1	Gupta_2023_adj	F1	OK	21	-0.0142405964881465	0.0408244725922559	0.727220696622331	0.429275427291296	0.119575031542507	0.431904761904762	0.9524933476636
Gupta_2023_adj__F2	Gupta_2023_adj	F2	OK	21	-0.0302782702837936	0.0366725334574644	0.409008960071436	0.00486889833753684	0.0333523525525435	0.00666666666666667	0.9524933476636
Gupta_2023_adj__F3	Gupta_2023_adj	F3	OK	21	-0.0789227772082635	0.0375705568139475	0.0356712641353177	0.113175055897798	0.264284182403979	0.0980952380952381	0.337637074077959
Gupta_2023_adj__F4	Gupta_2023_adj	F4	OK	21	0.0143491941622586	0.0134196945318698	0.284950797602385	0.00037310936294152	0.24640993681036	0.000952380952380952	0.9524933476636
Gupta_2023_adj__F5	Gupta_2023_adj	F5	OK	21	0.0277299200436659	0.0184569878736559	0.132991858158641	0.0792741223686519	0.596266329359623	0.0857142857142857	0.831199113491509
Gupta_2023_adj__BMI	Gupta_2023_adj	BMI	OK	24	0.0458923856537072	0.0220189642892954	0.0371400781485755	3.52843042341459e-12	0.383305136920593		0.337637074077959
Gupta_2023_adj__Height	Gupta_2023_adj	Height	OK	22	-0.00997125492417686	0.0300154101556165	0.739734830909924	6.91928425991942e-39	0.71213675161552		0.9524933476636
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	OK	63	-0.0742149426465358	0.0543414240890386	0.17202817640645	8.28285569200968e-08	0.436623836222249		0.905411454770789
Gupta_2023_raw__BD	Gupta_2023_raw	BD	OK	62	0.0275373676148651	0.0361457892794302	0.446154520952823	0.216913546279382	0.966757639378678	0.0619354838709677	0.9524933476636
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	OK	58	-0.0121960908011968	0.0181852041432016	0.502437087470705	8.63644839634164e-06	0.446563673091493		0.9524933476636
Gupta_2023_raw__ADHD	Gupta_2023_raw	ADHD	OK	55	-0.102878496888343	0.0526169623168856	0.0505554052236518	0.0224906479631991	0.57211574498649	0.00727272727272727	0.388887732489629
Gupta_2023_raw__ASD	Gupta_2023_raw	ASD	OK	64	-0.180000412366907	0.0614098850032141	0.00337730423026845	0.583185119360806	0.223164210165042	0.604375	0.27176885717967
Gupta_2023_raw__ANX	Gupta_2023_raw	ANX	OK	59	-0.00947319698330801	0.0294082237467602	0.747356121501134	1.95506254832789e-05	0.908059364182958		0.9524933476636
Gupta_2023_raw__OCD	Gupta_2023_raw	OCD	OK	57	-0.045548638154465	0.0492178909371534	0.35473250409377	0.379478452440771	0.806478980982462	0.387017543859649	0.9524933476636
Gupta_2023_raw__PTSD	Gupta_2023_raw	PTSD	OK	61	-0.00348570099944638	0.00950025044448106	0.713688970105162	0.00298159973923435	0.668383764637329	0.00360655737704918	0.9524933476636
Gupta_2023_raw__AN	Gupta_2023_raw	AN	OK	60	0.0428810599487356	0.0628292481190257	0.494921855740208	0.53871520952439	0.996660207092546	0.4625	0.9524933476636
Gupta_2023_raw__BPD	Gupta_2023_raw	BPD	OK	47	-0.0698354159583491	0.0817516362951795	0.392972714255341	0.0166986319905026	0.684481992101158	0.0125531914893617	0.9524933476636
Gupta_2023_raw__TS	Gupta_2023_raw	TS	OK	60	0.25518580028931	0.117691997567081	0.030139588650566	0.516900615421228	0.306262225630559	0.408833333333333	0.337637074077959
