pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	b	se	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	MR Egger	0.0333596496433688	0.0446971357672899	0.462705597735068	0.000189671289026631	-0.00139658444396935	0.646240542816977	0.000769230769230769	0.00385669338023126	0.65807104928149	1	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	Weighted median	0.00790150441773114	0.0105570833240395	0.454185608820637		-0.00139658444396935	0.646240542816977	0.000769230769230769	0.00385669338023126	0.65807104928149	1	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	Robust adjusted profile score (RAPS)	0.012616996515526	0.0107114275467339	0.238836251451422		-0.00139658444396935	0.646240542816977	0.000769230769230769	0.00385669338023126	0.65807104928149	1	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	Inverse variance weighted	0.0129880484412735	0.00931302584199708	0.163133171029288	0.03633632061182	-0.00213456798688942	0.526874721773066	0.0703846153846154			1	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	MR Egger	0.0453606106162718	0.0511861090352388	0.385551241097702	0.0313480588250019	-0.00213456798688942	0.526874721773066	0.0703846153846154			1	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	Weighted median	0.00369472504894071	0.011445787305162	0.746845064896871		-0.00213456798688942	0.526874721773066	0.0703846153846154			1	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	Robust adjusted profile score (RAPS)	0.0124305036988589	0.00989919778567406	0.209221790021372		-0.00213456798688942	0.526874721773066	0.0703846153846154			1	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	Inverse variance weighted	-0.00107862215900056	0.0201328885182251	0.957273669874073	2.45707716915272e-05	0.000178889387736814	0.975506122973814		-0.0126399825098507	0.50953374502468	1	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	MR Egger	-0.00370009371803781	0.0868496016321394	0.966420121676847	1.40856669435733e-05	0.000178889387736814	0.975506122973814		-0.0126399825098507	0.50953374502468	1	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	Weighted median	-0.0282612386581023	0.020912734454754	0.176570865464244		0.000178889387736814	0.975506122973814		-0.0126399825098507	0.50953374502468	1	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	Robust adjusted profile score (RAPS)	-0.00618503172452399	0.020259607742141	0.760146190741773		0.000178889387736814	0.975506122973814		-0.0126399825098507	0.50953374502468	1	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Inverse variance weighted	0.00406050870698152	0.0182860428171349	0.824271005561747	0.00093980838005031	0.00178318982206205	0.735797235063355	0.00130434782608696			1	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	MR Egger	-0.0220703113194108	0.0786664315382686	0.781796586837591	0.000645228973154127	0.00178318982206205	0.735797235063355	0.00130434782608696			1	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Weighted median	-0.0123924562919863	0.020119988638756	0.537942305405142		0.00178318982206205	0.735797235063355	0.00130434782608696			1	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Robust adjusted profile score (RAPS)	0.00712517545600339	0.0195088946229737	0.714941949969069		0.00178318982206205	0.735797235063355	0.00130434782608696			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Inverse variance weighted	-0.00212972378463522	0.00444076694857784	0.631522743820134	0.903244228768484	-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	MR Egger	0.00234028805293302	0.0106824785394103	0.827559044768172	0.888305220449847	-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Weighted median	-0.00307768184516989	0.00606180573829632	0.611651822171324		-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Robust adjusted profile score (RAPS)	-0.00250868629564838	0.00471672952596292	0.594816130144551		-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Inverse variance weighted	0.0034636408942389	0.00444068377943104	0.435403129957581	0.754731287544806	-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	MR Egger	0.0197919662711902	0.0107364562245249	0.0715758491343788	0.817676189242913	-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Weighted median	0.00309194491723624	0.00622628968247651	0.619474612669763		-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
