tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000093183.14	ASD	123	0.000747405750446732	0.984485886695018	1.26165588057082e-06	0.00164874154003586	0.0131167043586185
Brain_Amygdala	ENSG00000093183.14	ADHD	113	0.000827734835222828	0.990083653737355	7.52939173142461e-07	0.000892422413826976	0.00819543607442215
Brain_Amygdala	ENSG00000093183.14	F3	73	0.00115996201850838	0.991532982972232	5.64246588671556e-07	0.00047548573834357	0.00683100502432719
Brain_Amygdala	ENSG00000010282.15	ASD	104	2.82929764952811e-05	0.978219589840339	4.24237912200489e-08	0.0014464818854131	0.0203055928739613
Brain_Amygdala	ENSG00000010282.15	ADHD	93	3.10656495836629e-05	0.992933162456576	3.02440259942242e-08	0.000960596944187584	0.00607514470562682
Brain_Amygdala	ENSG00000010282.15	F3	42	3.38408241796595e-05	0.996163944647083	6.63695603170913e-09	0.00019175998000382	0.00361044791177814
Brain_Amygdala	ENSG00000144647.7	ASD	57	1.01249781405575e-09	0.992554363520733	5.77942500084616e-13	0.000559672643388156	0.00688596282280165
Brain_Amygdala	ENSG00000144647.7	ADHD	48	9.88622054892044e-10	0.993844333887141	2.68416884595947e-13	0.000263943042938906	0.00589172208102951
Brain_Amygdala	ENSG00000144792.9	ASD	393	7.58802807685855e-05	0.736674011586512	1.27882781620826e-05	0.124014141563156	0.139223178291402
Brain_Amygdala	ENSG00000144792.9	ADHD	354	9.98442689837313e-05	0.96843709342769	8.04007471178827e-07	0.0077747636975221	0.0236874945983327
Brain_Amygdala	ENSG00000144792.9	F3	125	7.88920802489244e-05	0.97302145684446	1.16245829929478e-07	0.00140823546298005	0.025491299366481
Brain_Amygdala	ENSG00000011376.12	ASD	176	3.97840701561523e-14	0.990565125893167	7.2222497338444e-17	0.00179059020763417	0.00764428389916066
Brain_Amygdala	ENSG00000011376.12	ADHD	160	4.37999603467725e-14	0.993290867324313	4.31566627738686e-17	0.000972966066408599	0.00573616660923433
Brain_Amygdala	ENSG00000011376.12	F3	48	1.12635479715832e-13	0.996257270686545	2.33487321367494e-17	0.000202979050129301	0.00353975026321228
Brain_Amygdala	ENSG00000241186.10	ASD	92	1.00229053411901e-27	0.977400981984959	1.33507694394372e-30	0.00128060500301929	0.0213184130120237
Brain_Amygdala	ENSG00000241186.10	ADHD	79	1.22627691107358e-27	0.994345535424307	5.53224368999787e-31	0.000443379421962049	0.00521108515372956
Brain_Amygdala	ENSG00000241186.10	F3	38	0.00285539432922505	0.990128807176266	7.52750806473827e-07	0.000254261047029519	0.00676078469667288
Brain_Amygdala	ENSG00000188086.15	ASD	184	8.87211364255388e-05	0.979904787386069	2.85747600895929e-07	0.00313915025204396	0.0168670554778599
Brain_Amygdala	ENSG00000188086.15	ADHD	99	0.000100553199589512	0.956747808967308	4.91818675744186e-07	0.00464106692441026	0.0385100790900164
Brain_Amygdala	ENSG00000188086.15	F3	73	0.000101676822642743	0.982655985696793	1.20204508639506e-07	0.00114562027073536	0.0160965970053197
Brain_Amygdala	ENSG00000286651.2	ASD	119	0.0534052181663611	0.927844986534914	0.000123009504994996	0.00212062118782272	0.0165061646059066
Brain_Amygdala	ENSG00000286651.2	ADHD	82	0.0613503091366308	0.898108633492386	0.00027386275216513	0.003972788931835	0.0362944056869833
Brain_Amygdala	ENSG00000286651.2	F3	63	0.0705713950416036	0.913812971694045	7.56202848691566e-05	0.000964614501280708	0.0145753984782014
Brain_Amygdala	ENSG00000114650.21	ASD	326	0.00421155539708356	0.977311045485854	2.09742009950206e-05	0.00485355816284379	0.0136028667532235
Brain_Amygdala	ENSG00000114650.21	ADHD	284	0.00475715816662045	0.979127358941085	4.40201524815035e-05	0.00905329349788479	0.00701816924192868
Brain_Amygdala	ENSG00000114650.21	F3	183	0.00681799468670464	0.98731289688951	6.79707741166819e-06	0.000979400958706978	0.00488291038766683
Brain_Amygdala	ENSG00000164048.14	ASD	691	7.61293147566723e-12	0.777610038696859	1.03668766870662e-12	0.105774096636318	0.116615864658174
Brain_Amygdala	ENSG00000164048.14	ADHD	605	1.60477466053864e-11	0.908255640912243	1.53668631168372e-12	0.086967185009771	0.0047771740604012
Brain_Amygdala	ENSG00000164048.14	F3	386	9.83064155471831e-07	0.989579119213472	2.97947953233544e-09	0.00299179704433497	0.00742809769855885
Brain_Amygdala	ENSG00000172113.10	ASD	625	0.000863251660959224	0.779401843747518	0.000116209761299961	0.104807201767827	0.114811493062396
Brain_Amygdala	ENSG00000172113.10	ADHD	547	0.00110195063601658	0.880937856543021	0.000107314139652107	0.0857585800492001	0.0320942986321103
Brain_Amygdala	ENSG00000172113.10	F3	347	0.00196493786434141	0.988738894903643	3.91200219201395e-06	0.00196115288607433	0.00733110234374867
Brain_Amygdala	ENSG00000232112.3	ASD	392	5.93329745262438e-11	0.939937755331015	3.36898147547539e-12	0.0533638415217166	0.0066984030845663
Brain_Amygdala	ENSG00000232112.3	ADHD	347	7.2054425665865e-11	0.981664648006677	6.82930691176271e-13	0.00929516160396824	0.0090401903166193
Brain_Amygdala	ENSG00000232112.3	F3	221	8.75262754765154e-11	0.986782040273513	1.44163116115806e-13	0.00161370852586122	0.0116042511129562
Brain_Amygdala	ENSG00000244380.1	ASD	31	0.798276500634225	0.200076993243216	0.00018194105827343	4.41806320801375e-05	0.0014203844322054
Brain_Amygdala	ENSG00000213672.8	ASD	682	8.01987904891152e-27	0.626735344695882	4.53746045964016e-27	0.354573544991108	0.0186911103130118
Brain_Amygdala	ENSG00000213672.8	ADHD	615	9.37116199189528e-27	0.398072832402066	9.29584446237772e-27	0.394666196334045	0.207260971263886
Brain_Amygdala	ENSG00000213672.8	F3	453	3.22550173371311e-26	0.905916302822772	2.77409699607159e-27	0.077897263994883	0.016186433182342
Brain_Amygdala	ENSG00000178467.18	ASD	218	0.167794890047253	0.743771700411156	0.00463630511494984	0.0204876891162903	0.0633094153103512
Brain_Amygdala	ENSG00000178467.18	ADHD	192	0.0594691281676458	0.225401165551545	0.03612236183278	0.136369112628737	0.542638231819292
Brain_Amygdala	ENSG00000178467.18	F3	150	0.244815938953612	0.730900366615873	0.00118570747339791	0.00352036356961595	0.0195776233875009
Brain_Amygdala	ENSG00000285416.1	ASD	256	0.000113390606398849	0.900470890763241	5.12459495867446e-06	0.0406372660865231	0.0587733279488796
Brain_Amygdala	ENSG00000285416.1	ADHD	224	2.97382425858218e-05	0.200670294760214	2.13596296210082e-05	0.143476560840991	0.655802046526588
Brain_Amygdala	ENSG00000285416.1	F3	171	0.000175047020459107	0.964542799953103	1.09776913842588e-06	0.00601965800567396	0.0292613972516251
Brain_Amygdala	ENSG00000178252.19	ASD	180	0.049182390812753	0.857059652505884	0.00177606402029376	0.0308888625720381	0.0610930300890312
Brain_Amygdala	ENSG00000178252.19	ADHD	159	0.0133121931503287	0.201923583508785	0.00928683331737657	0.140230397136318	0.635246992887191
Brain_Amygdala	ENSG00000178252.19	F3	129	0.0720802922465613	0.894441468791916	0.000437130987887137	0.00539669656549579	0.0276444114081396
Brain_Amygdala	ENSG00000177352.10	ASD	117	0.407923645639612	0.557756583092536	0.00258833441296032	0.00351082541716392	0.0282206114377281
Brain_Amygdala	ENSG00000177352.10	ADHD	102	0.134365595363598	0.156280497469357	0.0903557639782798	0.104578284158973	0.514419859029793
