pair	exposure	outcome	n_iv	method	beta	se	p	egger_intercept	egger_intercept_p	cochran_Q_p_ivw	presso_global_p	presso_raw_p	presso_outlier_corrected_b	presso_outlier_corrected_p
Gupta_2023_adj__TS	Gupta_2023_adj	TS	36	Robust adjusted profile score (RAPS)	0.0320758675316428	0.138164986088248	0.816416642958583	0.00428081614855326	0.705876483295367	0.716163581755496	0.688	0.45527792793403		
Gupta_2023_adj__PPD	Gupta_2023_adj	PPD	42	Inverse variance weighted	0.021280874099376	0.0664668573916363	0.748837406674956	-0.000236802064034656	0.966960773858281	0.898419441367863	0.895952380952381	0.709987173516169		
Gupta_2023_adj__PPD	Gupta_2023_adj	PPD	42	MR Egger	0.0260539549351049	0.13240751602875	0.845003170038212	-0.000236802064034656	0.966960773858281	0.898419441367863	0.895952380952381	0.709987173516169		
Gupta_2023_adj__PPD	Gupta_2023_adj	PPD	42	Weighted median	0.0536148758824735	0.102976570816365	0.602609770477394	-0.000236802064034656	0.966960773858281	0.898419441367863	0.895952380952381	0.709987173516169		
Gupta_2023_adj__PPD	Gupta_2023_adj	PPD	42	Robust adjusted profile score (RAPS)	0.0173189763458529	0.0688617102554501	0.801424685891613	-0.000236802064034656	0.966960773858281	0.898419441367863	0.895952380952381	0.709987173516169		
Gupta_2023_adj__ADR_PercImp	Gupta_2023_adj	ADR_PercImp	34	Inverse variance weighted	-0.0785981856622731	0.104679082736108	0.45274353006959	0.00720561161367334	0.445314267628313	0.991472555637378	0.991764705882353	0.299849456289138		
Gupta_2023_adj__ADR_PercImp	Gupta_2023_adj	ADR_PercImp	34	MR Egger	-0.219236416265788	0.209944593958875	0.304190658895177	0.00720561161367334	0.445314267628313	0.991472555637378	0.991764705882353	0.299849456289138		
Gupta_2023_adj__ADR_PercImp	Gupta_2023_adj	ADR_PercImp	34	Weighted median	-0.19472355163347	0.149631571763622	0.193137523555817	0.00720561161367334	0.445314267628313	0.991472555637378	0.991764705882353	0.299849456289138		
Gupta_2023_adj__ADR_PercImp	Gupta_2023_adj	ADR_PercImp	34	Robust adjusted profile score (RAPS)	-0.0855327875397581	0.108061608888931	0.428641350139716	0.00720561161367334	0.445314267628313	0.991472555637378	0.991764705882353	0.299849456289138		
Gupta_2023_adj__ADR_NonRem	Gupta_2023_adj	ADR_NonRem	29	Inverse variance weighted	-0.00652205761044608	0.247636858358394	0.978988396302706	-0.00417015162793122	0.852815690108649	0.999752156096062	0.999310344827586	0.963250024521545		
Gupta_2023_adj__ADR_NonRem	Gupta_2023_adj	ADR_NonRem	29	MR Egger	0.0729317235537286	0.491171695987239	0.883063303723806	-0.00417015162793122	0.852815690108649	0.999752156096062	0.999310344827586	0.963250024521545		
Gupta_2023_adj__ADR_NonRem	Gupta_2023_adj	ADR_NonRem	29	Weighted median	-0.0297473807939183	0.334697173873544	0.929178475121493	-0.00417015162793122	0.852815690108649	0.999752156096062	0.999310344827586	0.963250024521545		
Gupta_2023_adj__ADR_NonRem	Gupta_2023_adj	ADR_NonRem	29	Robust adjusted profile score (RAPS)	0.00444459612468899	0.254929598931174	0.986089904850135	-0.00417015162793122	0.852815690108649	0.999752156096062	0.999310344827586	0.963250024521545		
Gupta_2023_adj__BD_noUKBB	Gupta_2023_adj	BD_noUKBB	41	Inverse variance weighted	-0.0193450772977347	0.0544712182667547	0.722482389535161	0.000273087843480388	0.953275386622715	0.0350985831889827	0.0309756097560976	0.724348258238584		
Gupta_2023_adj__BD_noUKBB	Gupta_2023_adj	BD_noUKBB	41	MR Egger	-0.0247507447936191	0.106982857632105	0.818250548471566	0.000273087843480388	0.953275386622715	0.0350985831889827	0.0309756097560976	0.724348258238584		
Gupta_2023_adj__BD_noUKBB	Gupta_2023_adj	BD_noUKBB	41	Weighted median	-0.0711801001274993	0.0739583473152326	0.335831152161019	0.000273087843480388	0.953275386622715	0.0350985831889827	0.0309756097560976	0.724348258238584		
Gupta_2023_adj__BD_noUKBB	Gupta_2023_adj	BD_noUKBB	41	Robust adjusted profile score (RAPS)	-0.0137703110249591	0.0586852442669156	0.814482799640284	0.000273087843480388	0.953275386622715	0.0350985831889827	0.0309756097560976	0.724348258238584		
Gupta_2023_adj__MDD_noUKBB	Gupta_2023_adj	MDD_noUKBB	43	Inverse variance weighted	-0.00981131140746209	0.0513938926906925	0.84860062763954	-0.000700086144177709	0.873812854004758	0.0478889313686782	0.0488372093023256	0.849520468395605	0.0126566798772258	0.792122198372373
