pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	beta	SE	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	Weighted median	-0.00812	0.01168	0.487	NA	-8.28847e-04	0.658	0.184	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	Robust adjusted profile score (RAPS)	-0.00486	0.00886	0.583	NA	-8.28847e-04	0.658	0.184	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	Inverse variance weighted	-2.66010e-04	0.00779	0.973	0.473	0.00107	0.544	0.375	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	MR Egger	-0.01055	0.01853	0.572	0.446	0.00107	0.544	0.375	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	Weighted median	-0.01553	0.01092	0.155	NA	0.00107	0.544	0.375	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	Robust adjusted profile score (RAPS)	-7.76116e-04	0.00835	0.926	NA	0.00107	0.544	0.375	NA	NA	1.000	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	Inverse variance weighted	-0.00814	0.02466	0.741	1.87e-05	-0.00105	0.734	NA	0.00680	0.736	1.000	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	MR Egger	0.02614	0.10290	0.802	1.23e-05	-0.00105	0.734	NA	0.00680	0.736	1.000	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	Weighted median	-0.02948	0.02504	0.239	NA	-0.00105	0.734	NA	0.00680	0.736	1.000	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	Robust adjusted profile score (RAPS)	-0.00226	0.01709	0.895	NA	-0.00105	0.734	NA	0.00680	0.736	1.000	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	Inverse variance weighted	-0.01535	0.02237	0.493	0.002	-0.00286	0.299	0.002	-0.00407	0.840	0.963	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	MR Egger	0.07767	0.09045	0.399	0.002	-0.00286	0.299	0.002	-0.00407	0.840	0.963	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	Weighted median	-0.01826	0.02393	0.446	NA	-0.00286	0.299	0.002	-0.00407	0.840	0.963	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	Robust adjusted profile score (RAPS)	-0.01312	0.01724	0.447	NA	-0.00286	0.299	0.002	-0.00407	0.840	0.963	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	Inverse variance weighted	-0.03949	0.05051	0.434	1.96e-08	0.00186	0.765	NA	-0.03271	0.433	1.000	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	MR Egger	-0.09969	0.20522	0.632	1.13e-08	0.00186	0.765	NA	-0.03271	0.433	1.000	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	Weighted median	-0.04298	0.04689	0.359	NA	0.00186	0.765	NA	-0.03271	0.433	1.000	FALSE
