### Supp Table 11A — Anchor-set (MitoCarta3_all_anchor) enrichment for 4 exposures + 3 outcomes
trait	role	NGENES	BETA	SE	P_one_sided	P_two_sided	N_FDR_sig_subpathways
Chong_2022	MITO_PW__Lysine_metabolism	16	0.2675	0.2549	1.4697e-01	0.761
Chong_2022	MITO_PW__Serine_metabolism	5	0.1088	0.3962	3.9176e-01	0.832
Chong_2022	MITO_PW__Glycine_metabolism	15	-0.2773	0.2435	8.7258e-01	0.937
Chong_2022	MITO_PW__Glycine_cleavage_system	4	0.3907	0.435	1.8454e-01	0.761
Chong_2022	MITO_PW__Glutamate_metabolism	7	0.2895	0.3223	1.8453e-01	0.761
Chong_2022	MITO_PW__Proline_metabolism	6	-0.1531	0.3688	6.6101e-01	0.884
Chong_2022	MITO_PW__Glyoxylate_metabolism	8	0.1342	0.3044	3.2965e-01	0.815
Chong_2022	MITO_PW__GABA_metabolism	6	0.0038	0.337	4.9544e-01	0.846
Chong_2022	MITO_PW__Kynurenine_metabolism	3	0.4896	0.5911	2.0379e-01	0.761
Chong_2022	MITO_PW__Urea_cycle	5	-0.1936	0.371	6.9912e-01	0.884
Chong_2022	MITO_PW__Nucleotide_metabolism	38	0.1639	0.1632	1.5769e-01	0.761
Chong_2022	MITO_PW__Nucleotide_import	8	0.1638	0.3948	3.3912e-01	0.815
Chong_2022	MITO_PW__Nucleotide_synthesis_and_processing	24	0.3537	0.2215	5.5130e-02	0.726
Chong_2022	MITO_PW__Creatine_metabolism	4	-0.1865	0.3463	7.0493e-01	0.884
Chong_2022	MITO_PW__Metals_and_cofactors	116	-0.011	0.0888	5.4931e-01	0.849
Chong_2022	MITO_PW__Carnitine_synthesis_and_transport	5	0.114	0.4421	3.9824e-01	0.832
Chong_2022	MITO_PW__Carnitine_shuttle	5	0.114	0.4421	3.9824e-01	0.832
Chong_2022	MITO_PW__Coenzyme_A_metabolism	5	-0.0025	0.2803	5.0351e-01	0.846
Chong_2022	MITO_PW__Coenzyme_Q_metabolism	13	-0.3082	0.2714	8.7197e-01	0.937
Chong_2022	MITO_PW__Copper_metabolism	7	0.5639	0.3823	7.0099e-02	0.726
Chong_2022	MITO_PW__Iron_homeostasis	5	0.0484	0.4834	4.6014e-01	0.844
Chong_2022	MITO_PW__Heme_synthesis_and_processing	13	-0.1511	0.2847	7.0216e-01	0.884
Chong_2022	MITO_PW__Fe_S_cluster_biosynthesis	22	-0.0622	0.2064	6.1835e-01	0.875
Chong_2022	MITO_PW__Molybdenum_cofactor_synthesis_and_proteins	4	-0.1184	0.7076	5.6644e-01	0.849
Chong_2022	MITO_PW__NAD_biosynthesis_and_metabolism	14	-0.0051	0.2355	5.0869e-01	0.846
Chong_2022	MITO_PW__Tetrahydrobiopterin_synthesis	3	-0.1723	0.776	5.8784e-01	0.849
Chong_2022	MITO_PW__Fe_S_containing_proteins	31	0.1474	0.1783	2.0427e-01	0.761
Chong_2022	MITO_PW__Heme_containing_proteins	11	-0.0281	0.3366	5.3327e-01	0.849
Chong_2022	MITO_PW__Vitamin_metabolism	49	0.0841	0.1455	2.8167e-01	0.767
